case_key,case_name_abbreviation,dissent_ind,majority_word_count,dissent_word_count,officialcitation,issuearea,majvotes,minvotes,kldiv_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,year,voyage3_cosdist,voyagelaw_cosdist,z_kldiv,z_d2v,z_voyage3,composite_div
a5660,Trinova Corp. v. Michigan Department of Treasury,1,8181,2336,498 U.S. 358,8,6,2,.63397568,.1910105,.038672701,.0070701838,1991,.26392657,.12823784,-.76632923,-.64987183,-.31768501,-.57796204
a5661,Dennis v. Higgins,1,3932,4872,498 U.S. 439,2,7,2,.39216265,.20243406,.0301024,.0047994256,1991,.26039654,.1531812,-.94774342,-.56287485,-.34492642,-.6185149
a5664,"Business Guides, Inc. v. Chromatic Communications Enterprises, Inc.",1,6471,5679,498 U.S. 533,9,5,4,1.5536555,.18164104,.038701531,.0049140453,1991,.2719304,.16840613,-.076362431,-.72122562,-.25591895,-.35116899
a5666,Deboue v. Louisiana,1,526,47,498 U.S. 881,,,,6.7426591,.26644671,.81429619,.2163527,1990,.48698252,.57621205,3.8165579,-.07538192,1.403651,1.7149423
a567,Masciale v. United States,1,796,190,356 U.S. 386,1,5,4,5.1347613,.52728933,.21323377,.047786534,1958,.39247233,.4140017,2.6102726,1.9110839,.67431021,1.7318889
a568,United States v. Cores,1,1765,412,356 U.S. 405,1,6,3,2.2621193,.3022531,.2026177,.0091027021,1958,.32310861,.2542603,.45514482,.19730422,.13902636,.26382512
a569,Public Service Commission v. United States,1,2276,10999,356 U.S. 421,8,5,4,.18244976,.14227664,.0400187,.0054167509,1958,.21072555,.12860978,-1.1050752,-1.021008,-.72824043,-.95144123
a570,Hoag v. New Jersey,1,2874,1348,356 U.S. 464,1,5,3,1.470958,.37442061,.1127621,.0093565583,1958,.2649461,.181283,-.13840418,.74690115,-.30981717,.09955994
a570,Hoag v. New Jersey,2,2874,1008,356 U.S. 464,1,5,3,2.186136,.28571871,.093820147,.011469066,1958,.32869107,.26693279,.39814025,.071385391,.18210647,.21721071
a5708,Pacific Mutual Life Insurance v. Haslip,1,6814,7005,499 U.S. 1,8,7,1,2.6102257,.24954709,.039015051,.0065792203,1991,.32302117,.16850275,.71630293,-.20408218,.13835157,.21685745
a5709,"West Virginia University Hospitals, Inc. v. Casey",1,6230,5003,499 U.S. 83,6,6,3,1.1447207,.27203569,.068918757,.0066589117,1991,.28569132,.11995411,-.38315555,-.032818653,-.14972509,-.18856643
a571,Federal Maritime Board v. Isbrandtsen Co.,1,5590,7533,356 U.S. 481,8,6,3,.40665588,.091292262,.0246155,.0029250383,1958,.14454085,.095002651,-.93687022,-1.4092833,-1.2389916,-1.1950483
a571,Federal Maritime Board v. Isbrandtsen Co.,2,5590,139,356 U.S. 481,8,6,3,4.6391644,.52071613,.33775249,.062813103,1958,.67053282,.53444391,2.2384636,1.8610253,2.8201194,2.3065362
a5710,United States v. Smith,1,4819,4022,499 U.S. 160,8,8,1,.45885277,.13125765,.04380196,.0073305964,1991,.21216083,.1686756,-.8977108,-1.104924,-.71716428,-.9065997
a5712,Salve Regina College v. Russell,1,4682,1065,499 U.S. 225,9,6,3,2.9026845,.28832936,.080922201,.0094262362,1991,.34728318,.21957934,.93571281,.091267012,.32558295,.45085427
a5713,Equal Employment Opportunity Commission v. Arabian American Oil Co.,1,4136,5605,499 U.S. 244,2,6,3,.96620095,.111873,.041062001,.0064448714,1991,.13082081,.11650372,-.51708555,-1.2525492,-1.34487,-1.0381682
a5714,Arizona v. Fulminante,1,7215,3287,499 U.S. 279,1,5,4,.40004942,.1436037,.034339961,.0034306645,1991,.23134887,.11569154,-.94182658,-1.0109018,-.569089,-.8406058
a5716,Powers v. Ohio,1,5077,5098,499 U.S. 400,2,7,2,1.0085201,.1931963,.034554701,.0050545931,1991,.20538193,.16460657,-.48533663,-.63322574,-.76947743,-.62934661
a5717,Leathers v. Medlock,1,4005,3907,499 U.S. 439,3,7,2,1.2135327,.1617374,.036269002,.0053251982,1991,.22208208,.12549335,-.33153108,-.87280327,-.6406014,-.61497855
a5718,McCleskey v. Zant,1,12048,7922,499 U.S. 467,1,6,3,.99286515,.15533864,.031276941,.0063608885,1991,.20183253,.8713789,-.49708137,-.92153347,-.79686832,-.7384944
a572,"Byrd v. Blue Ridge Rural Electric Cooperative, Inc.",1,4879,2455,356 U.S. 525,8,6,3,2.0890489,.20782876,.046979669,.0063832402,1958,.198394,.19137514,.32530305,-.52179116,-.82340366,-.33996391
a572,"Byrd v. Blue Ridge Rural Electric Cooperative, Inc.",2,4879,196,356 U.S. 525,8,6,3,3.1668627,.3725625,.20417941,.031052232,1958,.49648547,.45928895,1.133906,.73275054,1.4769858,1.1145475
a5720,"Carnival Cruise Lines, Inc. v. Shute",1,3219,2736,499 U.S. 585,8,7,2,1.9173009,.2071512,.093661547,.0091936588,1991,.22376311,.15306437,.19645347,-.52695113,-.62762874,-.31937546
a5721,California v. Hodari D.,1,2398,6469,499 U.S. 621,1,7,2,1.2964495,.17188241,.059425831,.0071731806,1991,.22594428,.17706716,-.26932478,-.79554325,-.61079651,-.55855483
a573,Payne v. Arkansas,1,2773,198,356 U.S. 560,1,7,2,2.3408437,.33866,.24256074,.028795362,1958,.53174633,.41110981,.51420581,.47456363,1.7490959,.9126218
a5731,In re Amendment to Rule 39,1,430,237,500 U.S. 13,,,,1.5441574,.41075981,.40940991,.060744345,1991,.39583892,.44199383,-.083488159,1.0236449,.70029038,.54681569
a5731,In re Amendment to Rule 39,2,430,140,500 U.S. 13,,,,4.8327217,.36199921,.40271321,.062464535,1991,.42169499,.4150579,2.3836751,.65230513,.89982325,1.3119345
a5732,In re Demos,1,320,615,500 U.S. 16,2,6,3,.97514033,.4379319,.22964931,.049818873,1991,.33096641,.45060021,-.51037896,1.2305759,.19966546,.30662081
a5733,Gilmer v. Interstate/Johnson Lane Corp.,1,4209,2462,500 U.S. 20,7,7,2,1.2844208,.27277267,.063479073,.0098867416,1991,.30443418,.17493421,-.27834901,-.027206114,-.0050853454,-.10354682
a5734,County of Riverside v. McLaughlin,1,3733,138,500 U.S. 44,1,5,4,2.668752,.35215881,.1906451,.03787601,1991,.37901825,.33889687,.76021081,.5773648,.57048428,.63601995
a5734,County of Riverside v. McLaughlin,2,3733,4226,500 U.S. 44,1,5,4,3.7383754,.2153147,.086750031,.010424495,1991,.37879378,.22278118,1.562669,-.46478143,.56875205,.55554652
